placeid,cuisine
132001,['Dutch-Belgian']
132002,['Seafood']
132003,['International']
132004,['Seafood']
132005,"['French', 'Seafood']"
132006,['Dutch-Belgian']
132007,['Mediterranean']
132008,['International']
132009,['International']
132010,"['Mediterranean', 'Dutch-Belgian']"
132012,"['French', 'Dutch-Belgian']"
132013,['International']
132014,['Dutch-Belgian']
132015,['Dutch-Belgian']
132016,['International']
132017,['Dutch-Belgian']
132018,['Dutch-Belgian']
132019,['Dutch-Belgian']
132020,['International']
132021,['Dutch-Belgian']
132022,['Dutch-Belgian']
132023,"['French', 'Dutch-Belgian']"
132024,"['Seafood', 'Continental-European']"
132025,['Dutch-Belgian']
132026,['Dutch-Belgian']
132028,"['Italian', 'Seafood']"
132030,"['French', 'Dutch-Belgian']"
132031,"['Family', 'German', 'Fine_Dining']"
132083,['International']
132087,['Cafe-Coffee_Shop']
132092,['Family']
132094,['Pizzeria']
132096,['Dutch-Belgian']
132097,['Cafe-Coffee_Shop']
132098,['Dutch-Belgian']
132100,"['American', 'Bar_Pub_Brewery']"
132101,"['American', 'Bar_Pub_Brewery']"
132102,['Cafe-Coffee_Shop']
132103,['Italian']
132105,['French']
132106,['Vegetarian']
132107,['Japanese']
132108,"['Japanese', 'Steaks', 'Sushi']"
132109,"['Vegetarian', 'Organic-Healthy']"
132114,['Cafe-Coffee_Shop']
132115,['Asian']
132116,['Asian']
132118,['Vegetarian']
132119,['Vegetarian']
132120,['Asian']
132121,['Italian']
132125,"['Family', 'Mexican']"
132126,"['Family', 'Mexican']"
132127,['Eastern_European']
132128,"['Vegetarian', 'Fast_Food']"
132130,['Turkish']
132131,['Italian']
132132,['Pizzeria']
132133,['Japanese']
132136,['Pizzeria']
132137,"['Pizzeria', 'Deli-Sandwiches']"
132138,['Bakery']
132145,['Deli-Sandwiches']
132146,['Deli-Sandwiches']
132147,"['Pizzeria', 'Deli-Sandwiches']"
132155,"['French', 'Mediterranean']"
132156,['Dutch-Belgian']
132157,['Greek']
132159,['French']
132160,['Dutch-Belgian']
132161,"['French', 'International']"
132162,['International']
132163,['Cafe-Coffee_Shop']
132164,['International']
132165,['International']
132166,"['French', 'International', 'Dutch-Belgian']"
132167,['Bar_Pub_Brewery']
132171,"['Asian', 'Chinese']"
132174,['Chinese']
132175,['Chinese']
132177,"['Bagels', 'Cafe-Coffee_Shop', 'Deli-Sandwiches']"
132180,['Italian']
132182,"['Italian', 'Continental-European']"
132184,"['Italian', 'Mediterranean']"
132186,"['Pizzeria', 'Italian']"
132187,"['Cafe-Coffee_Shop', 'Bar_Pub_Brewery']"
132191,['Polish']
132192,['Dutch-Belgian']
132201,['French']
132203,['Dutch-Belgian']
132204,['International']
132206,['International']
132207,"['International', 'Italian']"
132208,['Dutch-Belgian']
132209,['Chinese']
132210,['Chinese']
132211,['French']
132212,['French']
132213,['Cafe-Coffee_Shop']
132214,"['American', 'Bar_Pub_Brewery']"
132215,['Dutch-Belgian']
132216,"['Pizzeria', 'Italian']"
132217,"['Pizzeria', 'Italian']"
132218,['Dutch-Belgian']
132220,['French']
132221,['American']
132223,"['Bakery', 'Cafe-Coffee_Shop', 'Deli-Sandwiches']"
132225,['Chinese']
132226,"['American', 'Seafood']"
132228,"['California', 'Italian']"
132229,['Italian']
132230,['Italian']
132231,['Italian']
132232,['Italian']
132233,['Italian']
132234,['Italian']
132235,"['American', 'Burgers']"
132237,"['Japanese', 'Seafood', 'Sushi']"
132238,"['Japanese', 'Sushi']"
132239,['Burgers']
132240,"['American', 'Bar_Pub_Brewery']"
132242,['Greek']
132243,"['French', 'Italian']"
132244,"['French', 'German', 'Italian']"
132245,['German']
132246,"['Italian', 'Mediterranean']"
132247,['Pizzeria']
132249,['International']
132250,['Eastern_European']
132253,"['Cafeteria', 'Polish', 'Fast_Food']"
132255,"['Game', 'Bar_Pub_Brewery']"
132257,['Bar_Pub_Brewery']
132258,"['Cafeteria', 'Polish', 'Seafood']"
132262,['Chinese']
132265,['Asian']
132266,['Chinese']
132268,['Chinese']
132269,['Chinese']
132270,['Bar_Pub_Brewery']
132271,['Bar_Pub_Brewery']
132272,['Contemporary']
132273,"['Spanish', 'Latin_American']"
132274,['Mexican']
132275,['Latin_American']
132280,['American']
132281,['Bar_Pub_Brewery']
132283,['Cafe-Coffee_Shop']
132284,"['Pizzeria', 'Italian']"
132289,"['Contemporary', 'French']"
132292,['Cafe-Coffee_Shop']
132294,['Southern']
132295,['Dutch-Belgian']
132296,"['Barbecue', 'French', 'Dutch-Belgian']"
132297,['French']
132298,['International']
132299,['Dutch-Belgian']
132300,['Pizzeria']
132302,"['American', 'Polish']"
132306,['Breakfast-Brunch']
132310,['Southwestern']
132312,"['Chinese', 'Vietnamese']"
132315,['Continental-European']
132316,['Dutch-Belgian']
132317,"['French', 'Dutch-Belgian']"
132318,"['Mediterranean', 'Cafe-Coffee_Shop']"
132319,"['French', 'Dutch-Belgian']"
132321,['International']
132324,['International']
132326,['Pizzeria']
132328,"['Pizzeria', 'Deli-Sandwiches']"
132329,"['Pizzeria', 'Deli-Sandwiches']"
132330,['International']
132331,['International']
132332,['International']
132333,"['Japanese', 'Sushi']"
132335,['Bar_Pub_Brewery']
132336,['American']
132337,['Cafe-Coffee_Shop']
132339,['American']
132341,"['Japanese', 'Sushi']"
132342,['Italian']
132343,['Greek']
132344,['Greek']
132345,['Greek']
132346,['Greek']
132347,['Greek']
132348,['Greek']
132349,['Greek']
132350,['Greek']
132351,['Greek']
132352,['Greek']
132353,['Greek']
132354,['Greek']
132355,['Greek']
132356,['Greek']
132357,['Greek']
132358,['Greek']
132359,['Greek']
132360,['Greek']
132361,['Greek']
132362,['Greek']
132363,['Greek']
132364,['Greek']
132365,['Greek']
132366,['Greek']
132367,['Greek']
132372,['Greek']
132377,['Greek']
132380,['Pizzeria']
132381,['Pizzeria']
132384,['Greek']
132386,['Greek']
132387,['Greek']
132389,['Greek']
132392,"['Contemporary', 'Continental-European']"
132393,['Mexican']
132396,['International']
132398,['Dutch-Belgian']
132399,['Cafe-Coffee_Shop']
132402,['French']
132406,['Soup']
132407,['Mediterranean']
132408,['Dutch-Belgian']
132409,['Seafood']
132410,['Bar_Pub_Brewery']
132413,"['American', 'International']"
132414,['Asian']
132417,"['Italian', 'Mediterranean']"
132419,"['Italian', 'Mediterranean']"
132421,['Italian']
132425,['Fast_Food']
132429,['Dutch-Belgian']
132430,['Italian']
132432,['Cafe-Coffee_Shop']
132433,['Dutch-Belgian']
132434,['Dutch-Belgian']
132435,['Dutch-Belgian']
132436,['International']
132437,['Mediterranean']
132438,['Mediterranean']
132439,"['French', 'Dutch-Belgian']"
132440,['Dutch-Belgian']
132441,['Dutch-Belgian']
132442,"['French', 'International']"
132443,"['French', 'International']"
132444,['Dutch-Belgian']
132445,['Cafe-Coffee_Shop']
132446,['French']
132447,['International']
132448,['Dutch-Belgian']
132449,"['Cafe-Coffee_Shop', 'Dutch-Belgian']"
132450,['Dutch-Belgian']
132451,['Italian']
132452,['Juice']
132453,['Juice']
132454,['Juice']
132455,['Juice']
132456,['Juice']
132457,['Juice']
132458,['Ethiopian']
132459,['Dutch-Belgian']
132464,['German']
132468,['German']
132469,['German']
132470,['German']
132474,"['International', 'Regional']"
132477,['Chinese']
132478,['German']
132479,['German']
132481,['German']
132482,['German']
132483,"['Armenian', 'German', 'Persian']"
132484,['Italian']
132485,['Cafe-Coffee_Shop']
132487,['Southwestern']
132488,['Mexican']
132491,"['Bakery', 'Cafe-Coffee_Shop']"
132493,"['Seafood', 'Southwestern', 'Steaks']"
132509,['French']
132511,['German']
132513,['German']
132514,['Dutch-Belgian']
132517,['French']
132518,['Japanese']
132519,['Japanese']
132521,"['French', 'Dutch-Belgian']"
132522,['International']
132523,['International']
132524,['International']
132525,['International']
132526,['International']
132527,"['French', 'Dutch-Belgian']"
132528,['International']
132529,['International']
132530,"['Cafe-Coffee_Shop', 'Dutch-Belgian']"
132531,"['Barbecue', 'Dutch-Belgian']"
132532,['Vegetarian']
132533,['French']
132535,['International']
132536,['Dutch-Belgian']
132537,['Dutch-Belgian']
132538,['International']
132539,['Cafe-Coffee_Shop']
132540,['Dutch-Belgian']
132541,['Steaks']
132542,['International']
132543,['Dutch-Belgian']
132544,['French']
132545,['International']
132546,['International']
132547,['International']
132548,['International']
132549,['International']
132550,['Italian']
132551,['Dutch-Belgian']
132555,"['International', 'Polish', 'Vegetarian']"
132557,['Italian']
132560,['Regional']
132572,['Cafeteria']
132573,['Hot_Dogs']
132574,['Pizzeria']
132575,['Diner']
132576,['Fast_Food']
132577,['Fast_Food']
132578,['Mexican']
132579,['Fast_Food']
132580,['Mexican']
132581,['Dessert-Ice_Cream']
132582,['Bakery']
132583,['American']
132584,['?']
132587,['American']
132588,['Mexican']
132589,['Cafeteria']
132590,['Hot_Dogs']
132591,['Mexican']
132592,['Mexican']
132593,['Mexican']
132594,['?']
132595,['Mexican']
132596,['Mexican']
132598,['Mexican']
132599,['Mexican']
132600,['American']
132601,['Cafe-Coffee_Shop']
132602,['Mexican']
132603,['Mexican']
132604,['Cafeteria']
132605,['American']
132606,['American']
132607,['Mexican']
132608,['Mexican']
132609,['Fast_Food']
132610,['Mexican']
132611,['Mexican']
132612,['Pizzeria']
132613,['Mexican']
132614,['Mexican']
132615,['Mexican']
132617,['Mexican']
132618,['Fast_Food']
132619,['Mexican']
132620,['Fast_Food']
132621,['Mexican']
132622,['Chinese']
132623,['Mexican']
132624,['Mexican']
132625,['Mexican']
132626,['Italian']
132628,['Italian']
132629,['Mexican']
132630,['Mexican']
132631,['Mexican']
132632,['Mexican']
132634,['Mexican']
132635,['American']
132636,['American']
132637,['Mexican']
132638,['American']
132640,['American']
132642,['African']
132643,['Mexican']
132645,['American']
132646,['Mexican']
132648,['African']
132649,['Mexican']
132650,['American']
132652,['Mexican']
132653,['American']
132655,['American']
132657,['Mexican']
132658,['American']
132662,['Mexican']
132663,['Mexican']
132664,['Mexican']
132665,['Mexican']
132666,['Mexican']
132667,['Armenian']
132668,['Mexican']
132669,['Mexican']
132670,['Mexican']
132671,['Armenian']
132672,['Mexican']
132673,['Mexican']
132674,['American']
132675,['Mexican']
132676,['Armenian']
132677,['Mexican']
132678,['Mexican']
132679,['American']
132680,['Mexican']
132681,['Mexican']
132682,['American']
132683,['American']
132684,['American']
132685,['Barbecue']
132686,['Thai']
132687,['Japanese']
132688,['Mexican']
132689,['American']
132690,['Mexican']
132691,['Mexican']
132692,['Mexican']
132693,['Bar']
132694,['Mexican']
132695,['Mexican']
132696,['Mexican']
132697,['Mexican']
132698,['Mexican']
132699,['Mexican']
132700,['Mexican']
132701,['Mexican']
132702,['Mexican']
132703,['Mexican']
132704,['Mexican']
132705,['Mexican']
132706,['Mexican']
132707,['Mexican']
132708,['Mexican']
132709,['Mexican']
132710,['Mexican']
132711,['Mexican']
132712,['Mexican']
132713,['American']
132714,['Mexican']
132715,['Mexican']
132717,['Fast_Food']
132718,['Hot_Dogs']
132719,['Hot_Dogs']
132723,['Mexican']
132724,['American']
132725,['Fast_Food']
132732,['?']
132733,['Pizzeria']
132734,['Pizzeria']
132735,['Mexican']
132736,['Korean']
132737,['Mexican']
132738,['Hot_Dogs']
132739,['Mexican']
132740,['Mexican']
132741,['Mexican']
132742,['Mexican']
132743,['Mexican']
132744,['Mexican']
132745,['American']
132746,['Mexican']
132747,['Chinese']
132748,['Mexican']
132749,['Mexican']
132750,['Burgers']
132751,['Burgers']
132752,['Cafeteria']
132753,['Mexican']
132754,['Mexican']
132755,['Mexican']
132756,['Italian']
132757,['Mexican']
132758,['Mexican']
132760,['Mexican']
132761,['Mexican']
132763,['Mexican']
132764,['Mexican']
132765,['Mexican']
132766,['Japanese']
132767,['Vietnamese']
132768,['Family']
132769,['Mexican']
132770,['Spanish']
132771,['Japanese']
132772,['Mexican']
132773,"['Family', 'Mexican']"
132774,"['American', 'Bakery', 'Breakfast-Brunch', 'Burgers', 'Cafe-Coffee_Shop', 'Cafeteria', 'Diner', 'Family', 'Mexican']"
132775,['Mexican']
132776,['Mexican']
132777,['Mexican']
132778,['Mexican']
132779,['Mexican']
132781,['Mexican']
132782,['Family']
132783,['International']
132784,['Italian']
132785,['Mexican']
132786,['International']
132787,['International']
132788,['American']
132789,['Mexican']
132790,['International']
132791,['Mexican']
132792,['International']
132793,['Mexican']
132794,['Vegetarian']
132795,['American']
132796,['American']
132797,['Cafeteria']
132798,['Mexican']
132799,['Armenian']
132801,['Mexican']
132802,['Chinese']
132803,['Chinese']
132804,['Bar']
132805,['Mexican']
132806,['Mexican']
132807,['Cafeteria']
132810,['Vegetarian']
132811,['International']
132825,['Mexican']
132827,['Mexican']
132828,['Mexican']
132829,['Mexican']
132833,['Mexican']
132834,['Mexican']
132835,['Mexican']
132836,['Mexican']
132837,['Mexican']
132838,['Mexican']
132839,['Mexican']
132840,['Mexican']
132841,['Mexican']
132842,['Mexican']
132843,['Mexican']
132845,['?']
132846,['International']
132851,"['American', 'Game']"
132852,"['Latin_American', 'Mexican']"
132853,['Fast_Food']
132854,['International']
132855,['Mexican']
132856,['Italian']
132857,['International']
132858,['Burgers']
132859,['International']
132860,['International']
132861,['Burgers']
132862,['International']
132863,['International']
132864,['Mexican']
132865,['Mexican']
132866,"['Bakery', 'Cafeteria']"
132867,"['Bar', 'Mexican']"
132868,['Mexican']
132869,['Pizzeria']
132870,['Burgers']
132871,['Mexican']
132872,['American']
132873,['American']
132875,['Japanese']
132885,['?']
132886,['American']
132887,['Italian']
132888,['Afghan']
132889,['Mexican']
132890,['Mexican']
132891,['Mexican']
132892,['Chinese']
132893,['Mexican']
132894,['Mexican']
132895,['Mexican']
132896,['Mexican']
132897,['Mexican']
132899,['Mexican']
132900,['Mexican']
132901,['Regional']
132902,['Mexican']
132903,['Mexican']
132904,['Mexican']
132906,['Mexican']
132907,['Mexican']
132908,['Mexican']
132909,['Mexican']
132910,['Mexican']
132911,['Mexican']
132912,['Mexican']
132913,['Mexican']
132914,['Mexican']
132915,['Mexican']
132916,['American']
132917,"['American', 'Mexican']"
132918,['Mexican']
132919,['Mexican']
132920,['Mexican']
132921,['Bar']
132922,['Cafeteria']
132923,['Family']
132924,['Pizzeria']
132925,['Mexican']
132926,['Mexican']
132927,['Mexican']
132928,['Mexican']
132929,['Mexican']
132930,['Mexican']
132932,['Mexican']
132933,['American']
132934,['Mexican']
132935,['Mexican']
132936,['Mexican']
132937,['Bar']
132938,['Mexican']
132939,['Mexican']
132940,['Burgers']
132941,['Mexican']
132942,['Mexican']
132943,['Mexican']
132945,['Mexican']
132946,['Mexican']
132947,['Mexican']
132948,['Mexican']
132950,['Mexican']
132951,['American']
132953,['Mexican']
132954,['Breakfast-Brunch']
132955,['Bar_Pub_Brewery']
132956,['African']
132957,['American']
132958,['American']
132959,['Mexican']
132960,['Mexican']
132961,['Mexican']
132962,"['Burgers', 'Hot_Dogs']"
132963,['Mexican']
132964,['Bar']
132965,['Bar']
132966,['Bar']
132967,['Bar']
132968,['Bar']
132969,['Bar']
132970,['American']
132971,['Mexican']
132972,['Mexican']
132973,['Mexican']
132980,['Mexican']
132985,['Mexican']
132986,['Mexican']
132992,['American']
132993,['Mexican']
132994,['American']
132995,['American']
132996,['Mexican']
133000,['Family']
133007,['American']
133008,['American']
133009,['American']
133010,['Italian']
133014,['Contemporary']
133020,['American']
133026,['Family']
133027,['Cafeteria']
133028,['Mexican']
133029,['Bar']
133030,['Family']
133031,['Mexican']
133032,['Mexican']
133033,['American']
133034,['Mexican']
133035,['Caribbean']
133036,['Family']
133037,['Mexican']
133038,['Cafeteria']
133039,['Family']
133043,['International']
133047,['American']
133048,['Mexican']
133049,['Latin_American']
134971,['Mexican']
134972,"['Cafe-Coffee_Shop', 'Cafeteria']"
134973,['Mexican']
134976,"['Mexican', 'Mediterranean', 'Burgers']"
134980,['Seafood']
134981,['Italian']
134982,"['Bar', 'Bar_Pub_Brewery']"
134983,"['Bar', 'Bar_Pub_Brewery']"
134984,['Italian']
134985,['Mexican']
134986,['International']
134988,['Mediterranean']
134989,['Mexican']
134990,"['Bar', 'Bar_Pub_Brewery']"
134997,"['Bar', 'Cafe-Coffee_Shop', 'Cafeteria']"
134999,['Japanese']
135002,['Mexican']
135003,['Chinese']
135004,"['Bar', 'Bar_Pub_Brewery']"
135005,['Mexican']
135007,"['Bar', 'Bar_Pub_Brewery', 'Mexican']"
135008,['Contemporary']
135018,['Mexican']
135019,['Bar']
135020,"['Bar', 'Mexican']"
135021,['Fast_Food']
135022,['Mexican']
135025,['Mexican']
135026,"['Bar', 'Bar_Pub_Brewery']"
135027,['?']
135028,['?']
135029,"['Bar', 'Bar_Pub_Brewery']"
135030,"['Cafe-Coffee_Shop', 'Cafeteria']"
135031,['Seafood']
135032,"['Cafeteria', 'Contemporary']"
135034,['Japanese']
135035,['Italian']
135036,['Bar']
135037,['Mexican']
135039,['Seafood']
135041,"['Bar', 'Cafeteria']"
135042,['Chinese']
135043,"['Fast_Food', 'Pizzeria']"
135044,['Chinese']
135046,['Fast_Food']
135048,['Bar']
135049,['Seafood']
135052,"['Bar', 'Bar_Pub_Brewery']"
135053,"['Cafeteria', 'Fast_Food', 'Pizzeria']"
135054,['Seafood']
135055,['Mexican']
135056,['Bar']
135057,['Bar']
135058,['Pizzeria']
135059,['Bar']
135060,['Seafood']
135061,['Contemporary']
135069,['Bar']
135071,"['Bar', 'Bar_Pub_Brewery']"
135072,['Japanese']
135073,"['Bar', 'Bar_Pub_Brewery']"
135074,['Contemporary']
135075,['Seafood']
135079,['Chinese']
135085,['Fast_Food']
135086,"['Burgers', 'Fast_Food']"
135088,['Cafeteria']
135089,['Seafood']
135090,['Mexican']
135091,"['Japanese', 'Sushi']"
135092,"['Cafeteria', 'Mexican']"
135093,['Mexican']
135094,['Mexican']
135097,"['Cafe-Coffee_Shop', 'Cafeteria', 'Contemporary', 'Deli-Sandwiches', 'Diner', 'Mexican']"
135098,"['Brazilian', 'International', 'Latin_American', 'Steaks']"
135099,"['Asian', 'Dessert-Ice_Cream', 'International', 'Mongolian', 'Steaks', 'Vegetarian']"
135100,"['Mexican', 'Steaks']"
135101,"['Mexican', 'Steaks']"
135102,"['Latin_American', 'Mexican', 'Steaks']"
135103,"['Burgers', 'Dessert-Ice_Cream', 'Fast_Food', 'Hot_Dogs']"
135104,['Mexican']
135105,['Fast_Food']
135106,['?']
135107,['Latin_American']
135109,['Italian']
135110,['Spanish']
